date,open,high,low,close
2017-08-10T08:00:00+03:00,1276.64,1277.49,1276.23,1277.15
2017-08-10T07:00:00+03:00,1276.22,1277.15,1276.13,1276.63
2017-08-10T06:00:00+03:00,1276.56,1276.58,1275.69,1276.23
2017-08-10T05:00:00+03:00,1275.8,1276.96,1275.47,1276.54
2017-08-10T04:00:00+03:00,1275.36,1276.59,1274.53,1275.73
2017-08-10T03:00:00+03:00,1275.56,1275.69,1274.32,1275.4
2017-08-10T02:00:00+03:00,1276.46,1276.68,1274.8,1275.62
2017-08-10T01:00:00+03:00,1277.25,1277.74,1275.84,1276.45
2017-08-09T23:00:00+03:00,1275.61,1277.7,1275.34,1277.12
2017-08-09T22:00:00+03:00,1276.34,1276.79,1274.95,1275.59
2017-08-09T21:00:00+03:00,1274.18,1278.36,1273.84,1276.31
2017-08-09T20:00:00+03:00,1272.66,1274.52,1271.03,1274.19
2017-08-09T19:00:00+03:00,1272.41,1272.85,1270.91,1272.63
2017-08-09T18:00:00+03:00,1271.75,1274.61,1271.21,1272.44
2017-08-09T17:00:00+03:00,1271.99,1272.91,1270.05,1271.78
2017-08-09T16:00:00+03:00,1274.47,1274.78,1270.06,1272.1
2017-08-09T15:00:00+03:00,1268.91,1275.83,1268.91,1274.53
2017-08-09T14:00:00+03:00,1266.57,1269.64,1266.3,1268.83
2017-08-09T13:00:00+03:00,1267.4,1267.6,1266.15,1266.53
2017-08-09T12:00:00+03:00,1267.95,1268.43,1267.08,1267.39
2017-08-09T11:00:00+03:00,1267.64,1268.77,1267.14,1267.94
2017-08-09T10:00:00+03:00,1266.12,1268.71,1266.12,1267.65
2017-08-09T09:00:00+03:00,1264.95,1266.19,1264.3,1266.05
2017-08-09T08:00:00+03:00,1264.23,1265.1,1264.11,1264.88
2017-08-09T07:00:00+03:00,1264.83,1264.92,1264.24,1264.32
2017-08-09T06:00:00+03:00,1264.64,1265.09,1264,1264.81
2017-08-09T05:00:00+03:00,1264.77,1265.38,1264.08,1264.62
2017-08-09T04:00:00+03:00,1265.69,1266.27,1263.31,1264.67
2017-08-09T03:00:00+03:00,1261.7,1266.8,1261.04,1265.64
2017-08-09T02:00:00+03:00,1261.85,1262.37,1261.42,1261.72
2017-08-09T01:00:00+03:00,1260.34,1262.4,1260.29,1261.84
2017-08-08T23:00:00+03:00,1260.82,1261.37,1259.59,1260.7
2017-08-08T22:00:00+03:00,1255.81,1262.43,1253.7,1260.81
2017-08-08T21:00:00+03:00,1256.31,1256.4,1255.31,1255.82
2017-08-08T20:00:00+03:00,1256.18,1258.29,1255.91,1256.32
2017-08-08T19:00:00+03:00,1253.28,1256.59,1253.16,1256.1
2017-08-08T18:00:00+03:00,1253.45,1254.12,1251.47,1253.27
2017-08-08T17:00:00+03:00,1262.17,1262.19,1252.5,1253.5
2017-08-08T16:00:00+03:00,1261.9,1263.08,1261.11,1262.18
2017-08-08T15:00:00+03:00,1263.5,1263.84,1261.5,1261.91
2017-08-08T14:00:00+03:00,1263.59,1264.82,1263.1,1263.47
2017-08-08T13:00:00+03:00,1260.44,1264.85,1260.43,1263.56
2017-08-08T12:00:00+03:00,1260.35,1260.93,1260.27,1260.47
2017-08-08T11:00:00+03:00,1259.91,1260.92,1259.91,1260.34
2017-08-08T10:00:00+03:00,1259.5,1260.32,1258.89,1259.85
2017-08-08T09:00:00+03:00,1259.73,1260.28,1259.23,1259.52
2017-08-08T08:00:00+03:00,1259.78,1260.09,1259.05,1259.74
2017-08-08T07:00:00+03:00,1259.49,1260.28,1259.44,1259.76
2017-08-08T06:00:00+03:00,1260.04,1260.13,1259.47,1259.53
2017-08-08T05:00:00+03:00,1259.72,1260.65,1259.25,1260.03
2017-08-08T04:00:00+03:00,1257.9,1260.39,1257.85,1259.71
2017-08-08T03:00:00+03:00,1257.31,1258.44,1257.07,1257.88
