date,open,high,low,close
2017-08-10T00:00:00+03:00,1277.25,1277.74,1274.32,1277.15
2017-08-09T00:00:00+03:00,1260.34,1278.36,1260.29,1277.12
2017-08-08T00:00:00+03:00,1257.03,1264.85,1251.47,1260.7
2017-08-07T00:00:00+03:00,1257.67,1259.54,1255.72,1257.39
2017-08-04T00:00:00+03:00,1268.5,1269.87,1254.25,1258.36
2017-08-03T00:00:00+03:00,1266.4,1270.68,1256.88,1268.8
2017-08-02T00:00:00+03:00,1268.76,1272.68,1262.73,1266.1
2017-08-01T00:00:00+03:00,1269.26,1273.82,1262.6,1268.74
2017-07-31T00:00:00+03:00,1269.98,1270.63,1265.83,1269.27
2017-07-28T00:00:00+03:00,1259.25,1270.47,1257.24,1270.23
2017-07-27T00:00:00+03:00,1260.65,1264.93,1254.42,1258.51
2017-07-26T00:00:00+03:00,1250.26,1263.25,1243.64,1260.66
2017-07-25T00:00:00+03:00,1255.1,1257.37,1249.17,1249.74
2017-07-24T00:00:00+03:00,1253.26,1258.43,1251.89,1255.24
2017-07-21T00:00:00+03:00,1244.26,1255.53,1243.29,1254.8
2017-07-20T00:00:00+03:00,1240.91,1247.17,1234.99,1244.58
2017-07-19T00:00:00+03:00,1242.35,1243.65,1235.8,1240.99
2017-07-18T00:00:00+03:00,1233.84,1244.15,1232.77,1241.94
2017-07-17T00:00:00+03:00,1229.84,1235.67,1229.1,1233.44
2017-07-14T00:00:00+03:00,1217.02,1232.51,1214.75,1228.49
2017-07-13T00:00:00+03:00,1219.04,1224.04,1216.6,1217.41
2017-07-12T00:00:00+03:00,1216.78,1225.65,1213.64,1220.08
2017-07-11T00:00:00+03:00,1214.37,1217.12,1208.24,1217.02
2017-07-10T00:00:00+03:00,1212.77,1215.19,1204.66,1214.16
2017-07-07T00:00:00+03:00,1224.93,1228.23,1207.35,1209.56
2017-07-06T00:00:00+03:00,1227,1229.12,1222.37,1224.54
2017-07-05T00:00:00+03:00,1224.9,1228.6,1217.5,1226.86
2017-07-04T00:00:00+03:00,1220.71,1226.4,1220.59,1222.8
2017-07-03T00:00:00+03:00,1241.53,1241.97,1218.63,1219.63
2017-06-30T00:00:00+03:00,1244.89,1247.9,1239.26,1240.78
2017-06-29T00:00:00+03:00,1249.25,1252.89,1239.76,1245.12
2017-06-28T00:00:00+03:00,1246.62,1254.49,1246.1,1248.89
2017-06-27T00:00:00+03:00,1244.3,1252.77,1241.22,1246.67
2017-06-26T00:00:00+03:00,1257.12,1257.93,1236.66,1244.25
2017-06-23T00:00:00+03:00,1249.92,1258.48,1249.67,1255.7
2017-06-22T00:00:00+03:00,1245.21,1254.57,1245.21,1250.34
2017-06-21T00:00:00+03:00,1242.76,1247.5,1241.05,1246.04
2017-06-20T00:00:00+03:00,1244.29,1247.73,1241.35,1242.87
2017-06-19T00:00:00+03:00,1254.78,1255.45,1243.12,1243.39
2017-06-16T00:00:00+03:00,1253.92,1257,1251.78,1254.35
2017-06-15T00:00:00+03:00,1260.69,1266.3,1251.51,1253.85
2017-06-14T00:00:00+03:00,1266.09,1280.67,1257.04,1261.76
2017-06-13T00:00:00+03:00,1265.43,1268.59,1259.34,1266.14
2017-06-12T00:00:00+03:00,1266.65,1270.2,1263.6,1265.76
2017-06-09T00:00:00+03:00,1281.4,1281.86,1264.68,1270.46
2017-06-08T00:00:00+03:00,1287.08,1289.16,1271.37,1278.63
2017-06-07T00:00:00+03:00,1294.28,1295.01,1282.66,1286.98
2017-06-06T00:00:00+03:00,1279.19,1295.72,1279.19,1293.87
2017-06-05T00:00:00+03:00,1280.6,1283.04,1277.53,1279.42
2017-06-02T00:00:00+03:00,1265.41,1278.71,1259.13,1277.58
2017-06-01T00:00:00+03:00,1268.91,1269.96,1261.5,1265.35
