date,open,high,low,close
2017-08-10T08:40:00+03:00,1277.33,1277.36,1277.13,1277.15
2017-08-10T08:35:00+03:00,1276.77,1277.34,1276.63,1277.34
2017-08-10T08:30:00+03:00,1276.43,1276.91,1276.34,1276.79
2017-08-10T08:25:00+03:00,1276.45,1276.45,1276.23,1276.42
2017-08-10T08:20:00+03:00,1276.62,1276.73,1276.45,1276.46
2017-08-10T08:15:00+03:00,1276.93,1276.93,1276.44,1276.64
2017-08-10T08:10:00+03:00,1276.92,1277.49,1276.74,1276.92
2017-08-10T08:05:00+03:00,1276.72,1277.09,1276.61,1276.93
2017-08-10T08:00:00+03:00,1276.64,1276.73,1276.53,1276.7
2017-08-10T07:55:00+03:00,1276.57,1276.89,1276.54,1276.63
2017-08-10T07:50:00+03:00,1276.46,1276.63,1276.41,1276.6
2017-08-10T07:45:00+03:00,1276.45,1276.6,1276.41,1276.5
2017-08-10T07:40:00+03:00,1276.54,1276.61,1276.4,1276.46
2017-08-10T07:35:00+03:00,1276.63,1276.68,1276.51,1276.52
2017-08-10T07:30:00+03:00,1276.91,1276.91,1276.45,1276.62
2017-08-10T07:25:00+03:00,1277.05,1277.15,1276.81,1276.92
2017-08-10T07:20:00+03:00,1276.67,1277.01,1276.52,1277.01
2017-08-10T07:15:00+03:00,1276.71,1276.82,1276.61,1276.71
2017-08-10T07:10:00+03:00,1276.39,1276.73,1276.31,1276.73
2017-08-10T07:05:00+03:00,1276.57,1276.72,1276.21,1276.34
2017-08-10T07:00:00+03:00,1276.22,1276.63,1276.13,1276.62
2017-08-10T06:55:00+03:00,1276.2,1276.33,1276.12,1276.23
2017-08-10T06:50:00+03:00,1275.95,1276.27,1275.92,1276.21
2017-08-10T06:45:00+03:00,1276.1,1276.27,1276,1276.01
2017-08-10T06:40:00+03:00,1276.18,1276.2,1275.88,1276.08
2017-08-10T06:35:00+03:00,1276,1276.23,1275.99,1276.19
2017-08-10T06:30:00+03:00,1276.18,1276.31,1275.98,1275.98
2017-08-10T06:25:00+03:00,1275.77,1276.14,1275.69,1276.14
2017-08-10T06:20:00+03:00,1276.09,1276.11,1275.79,1275.79
2017-08-10T06:15:00+03:00,1276.39,1276.42,1276.09,1276.1
2017-08-10T06:10:00+03:00,1276.28,1276.43,1276.19,1276.36
2017-08-10T06:05:00+03:00,1276.39,1276.53,1276.28,1276.31
2017-08-10T06:00:00+03:00,1276.56,1276.58,1276.2,1276.34
2017-08-10T05:55:00+03:00,1276.68,1276.78,1276.49,1276.54
2017-08-10T05:50:00+03:00,1276.73,1276.81,1276.59,1276.71
2017-08-10T05:45:00+03:00,1276.71,1276.96,1276.49,1276.81
2017-08-10T05:40:00+03:00,1276.08,1276.83,1276.06,1276.7
2017-08-10T05:35:00+03:00,1276.53,1276.85,1275.97,1276.09
2017-08-10T05:30:00+03:00,1276,1276.55,1276,1276.55
2017-08-10T05:25:00+03:00,1276.22,1276.4,1275.92,1275.94
2017-08-10T05:20:00+03:00,1276.21,1276.24,1275.98,1276.21
2017-08-10T05:15:00+03:00,1276.1,1276.6,1275.91,1276.22
2017-08-10T05:10:00+03:00,1275.84,1276.22,1275.71,1276.11
2017-08-10T05:05:00+03:00,1275.62,1275.87,1275.47,1275.85
2017-08-10T05:00:00+03:00,1275.8,1275.91,1275.63,1275.63
2017-08-10T04:55:00+03:00,1275.82,1275.96,1275.63,1275.73
2017-08-10T04:50:00+03:00,1275.45,1276.08,1275.06,1275.83
2017-08-10T04:45:00+03:00,1275.91,1275.91,1275.35,1275.42
2017-08-10T04:40:00+03:00,1276.48,1276.59,1275.89,1275.97
2017-08-10T04:35:00+03:00,1275.7,1276.59,1275.24,1276.49
2017-08-10T04:30:00+03:00,1275.31,1275.74,1275.21,1275.68
2017-08-10T04:25:00+03:00,1275.33,1275.52,1275.22,1275.3
2017-08-10T04:20:00+03:00,1275.13,1275.49,1274.96,1275.32
2017-08-10T04:15:00+03:00,1275.14,1275.22,1274.99,1275.12
2017-08-10T04:10:00+03:00,1274.64,1275.25,1274.53,1275.15
2017-08-10T04:05:00+03:00,1274.97,1274.97,1274.53,1274.63
2017-08-10T04:00:00+03:00,1275.36,1275.74,1274.93,1274.98
2017-08-10T03:55:00+03:00,1275.25,1275.69,1275.13,1275.4
2017-08-10T03:50:00+03:00,1274.59,1275.38,1274.55,1275.22
2017-08-10T03:45:00+03:00,1274.52,1274.65,1274.32,1274.56
2017-08-10T03:40:00+03:00,1274.53,1274.57,1274.42,1274.51
