date,open,high,low,close
2017-08-10T08:41:00+03:00,1277.25,1277.25,1277.13,1277.15
2017-08-10T08:40:00+03:00,1277.33,1277.36,1277.22,1277.24
2017-08-10T08:39:00+03:00,1277.04,1277.34,1277.02,1277.34
2017-08-10T08:38:00+03:00,1277.06,1277.16,1277.01,1277.03
2017-08-10T08:37:00+03:00,1276.95,1277.07,1276.92,1277.05
2017-08-10T08:36:00+03:00,1276.93,1277.04,1276.89,1277.01
2017-08-10T08:35:00+03:00,1276.77,1277,1276.63,1276.92
2017-08-10T08:34:00+03:00,1276.91,1276.91,1276.78,1276.79
2017-08-10T08:33:00+03:00,1276.89,1276.91,1276.8,1276.9
2017-08-10T08:32:00+03:00,1276.75,1276.83,1276.74,1276.83
2017-08-10T08:31:00+03:00,1276.53,1276.83,1276.53,1276.77
2017-08-10T08:30:00+03:00,1276.43,1276.63,1276.34,1276.54
2017-08-10T08:29:00+03:00,1276.43,1276.44,1276.33,1276.42
2017-08-10T08:28:00+03:00,1276.35,1276.43,1276.32,1276.42
2017-08-10T08:27:00+03:00,1276.29,1276.35,1276.23,1276.34
2017-08-10T08:26:00+03:00,1276.35,1276.36,1276.31,1276.32
2017-08-10T08:25:00+03:00,1276.45,1276.45,1276.36,1276.36
2017-08-10T08:24:00+03:00,1276.73,1276.73,1276.45,1276.46
2017-08-10T08:23:00+03:00,1276.63,1276.73,1276.63,1276.7
2017-08-10T08:22:00+03:00,1276.65,1276.66,1276.54,1276.64
2017-08-10T08:21:00+03:00,1276.54,1276.66,1276.54,1276.66
2017-08-10T08:20:00+03:00,1276.62,1276.68,1276.54,1276.55
2017-08-10T08:19:00+03:00,1276.56,1276.66,1276.54,1276.64
2017-08-10T08:18:00+03:00,1276.62,1276.65,1276.44,1276.57
2017-08-10T08:17:00+03:00,1276.59,1276.67,1276.56,1276.65
2017-08-10T08:16:00+03:00,1276.73,1276.83,1276.53,1276.58
2017-08-10T08:15:00+03:00,1276.93,1276.93,1276.45,1276.74
2017-08-10T08:14:00+03:00,1277.41,1277.49,1276.74,1276.92
2017-08-10T08:13:00+03:00,1277.04,1277.42,1276.91,1277.42
2017-08-10T08:12:00+03:00,1277.01,1277.02,1276.99,1277
2017-08-10T08:11:00+03:00,1276.91,1277.04,1276.81,1277
2017-08-10T08:10:00+03:00,1276.92,1276.93,1276.89,1276.9
2017-08-10T08:09:00+03:00,1276.89,1277.09,1276.89,1276.93
2017-08-10T08:08:00+03:00,1276.72,1276.9,1276.72,1276.9
2017-08-10T08:07:00+03:00,1276.71,1276.73,1276.7,1276.73
2017-08-10T08:06:00+03:00,1276.72,1276.72,1276.72,1276.72
2017-08-10T08:05:00+03:00,1276.72,1276.72,1276.61,1276.71
2017-08-10T08:04:00+03:00,1276.7,1276.7,1276.63,1276.7
2017-08-10T08:03:00+03:00,1276.63,1276.71,1276.63,1276.63
2017-08-10T08:02:00+03:00,1276.61,1276.72,1276.61,1276.62
2017-08-10T08:01:00+03:00,1276.57,1276.63,1276.57,1276.62
2017-08-10T08:00:00+03:00,1276.64,1276.73,1276.53,1276.62
2017-08-10T07:59:00+03:00,1276.71,1276.72,1276.61,1276.63
2017-08-10T07:58:00+03:00,1276.81,1276.81,1276.65,1276.73
2017-08-10T07:57:00+03:00,1276.76,1276.89,1276.75,1276.83
2017-08-10T07:56:00+03:00,1276.73,1276.87,1276.73,1276.75
2017-08-10T07:55:00+03:00,1276.57,1276.69,1276.54,1276.69
2017-08-10T07:54:00+03:00,1276.52,1276.6,1276.5,1276.6
2017-08-10T07:53:00+03:00,1276.55,1276.6,1276.42,1276.5
2017-08-10T07:52:00+03:00,1276.59,1276.63,1276.51,1276.52
2017-08-10T07:51:00+03:00,1276.5,1276.54,1276.42,1276.54
2017-08-10T07:50:00+03:00,1276.46,1276.61,1276.41,1276.51
2017-08-10T07:49:00+03:00,1276.5,1276.6,1276.5,1276.5
2017-08-10T07:48:00+03:00,1276.49,1276.51,1276.48,1276.51
2017-08-10T07:47:00+03:00,1276.51,1276.52,1276.48,1276.5
2017-08-10T07:46:00+03:00,1276.6,1276.6,1276.52,1276.53
2017-08-10T07:45:00+03:00,1276.45,1276.51,1276.41,1276.51
2017-08-10T07:44:00+03:00,1276.43,1276.54,1276.42,1276.46
2017-08-10T07:43:00+03:00,1276.61,1276.61,1276.4,1276.42
2017-08-10T07:42:00+03:00,1276.6,1276.6,1276.58,1276.6
2017-08-10T07:41:00+03:00,1276.54,1276.6,1276.51,1276.59
2017-08-10T07:40:00+03:00,1276.54,1276.61,1276.51,1276.53
2017-08-10T07:39:00+03:00,1276.61,1276.63,1276.51,1276.52
2017-08-10T07:38:00+03:00,1276.55,1276.66,1276.53,1276.63
2017-08-10T07:37:00+03:00,1276.6,1276.68,1276.6,1276.61
2017-08-10T07:36:00+03:00,1276.61,1276.62,1276.53,1276.61
2017-08-10T07:35:00+03:00,1276.63,1276.63,1276.53,1276.59
2017-08-10T07:34:00+03:00,1276.57,1276.64,1276.45,1276.62
2017-08-10T07:33:00+03:00,1276.56,1276.74,1276.51,1276.61
2017-08-10T07:32:00+03:00,1276.53,1276.6,1276.51,1276.6
2017-08-10T07:31:00+03:00,1276.61,1276.71,1276.51,1276.61
2017-08-10T07:30:00+03:00,1276.91,1276.91,1276.52,1276.62
2017-08-10T07:29:00+03:00,1276.93,1276.93,1276.81,1276.92
2017-08-10T07:28:00+03:00,1277.02,1277.03,1276.89,1276.92
2017-08-10T07:27:00+03:00,1276.91,1277.05,1276.9,1277.01
2017-08-10T07:26:00+03:00,1277.1,1277.1,1276.89,1276.89
2017-08-10T07:25:00+03:00,1277.05,1277.15,1276.89,1277.13
2017-08-10T07:24:00+03:00,1276.65,1277.01,1276.65,1277.01
2017-08-10T07:23:00+03:00,1276.53,1276.64,1276.52,1276.64
2017-08-10T07:22:00+03:00,1276.52,1276.6,1276.52,1276.52
2017-08-10T07:21:00+03:00,1276.64,1276.7,1276.52,1276.53
2017-08-10T07:20:00+03:00,1276.67,1276.7,1276.6,1276.61
2017-08-10T07:19:00+03:00,1276.72,1276.72,1276.69,1276.71
2017-08-10T07:18:00+03:00,1276.78,1276.8,1276.63,1276.75
2017-08-10T07:17:00+03:00,1276.71,1276.82,1276.7,1276.77
2017-08-10T07:16:00+03:00,1276.72,1276.81,1276.71,1276.72
2017-08-10T07:15:00+03:00,1276.71,1276.73,1276.61,1276.68
2017-08-10T07:14:00+03:00,1276.61,1276.73,1276.53,1276.73
2017-08-10T07:13:00+03:00,1276.56,1276.62,1276.53,1276.55
2017-08-10T07:12:00+03:00,1276.33,1276.55,1276.31,1276.53
2017-08-10T07:11:00+03:00,1276.42,1276.44,1276.36,1276.36
2017-08-10T07:10:00+03:00,1276.39,1276.52,1276.39,1276.41
2017-08-10T07:09:00+03:00,1276.32,1276.41,1276.21,1276.34
2017-08-10T07:08:00+03:00,1276.6,1276.6,1276.37,1276.37
2017-08-10T07:07:00+03:00,1276.43,1276.62,1276.43,1276.54
2017-08-10T07:06:00+03:00,1276.6,1276.62,1276.32,1276.42
2017-08-10T07:05:00+03:00,1276.57,1276.72,1276.5,1276.62
2017-08-10T07:04:00+03:00,1276.45,1276.62,1276.44,1276.62
2017-08-10T07:03:00+03:00,1276.52,1276.63,1276.42,1276.46
2017-08-10T07:02:00+03:00,1276.42,1276.51,1276.42,1276.45
2017-08-10T07:01:00+03:00,1276.22,1276.42,1276.21,1276.4
2017-08-10T07:00:00+03:00,1276.22,1276.24,1276.13,1276.21
2017-08-10T06:59:00+03:00,1276.2,1276.33,1276.19,1276.23
2017-08-10T06:58:00+03:00,1276.2,1276.24,1276.12,1276.21
2017-08-10T06:57:00+03:00,1276.22,1276.23,1276.16,1276.19
2017-08-10T06:56:00+03:00,1276.22,1276.24,1276.21,1276.23
2017-08-10T06:55:00+03:00,1276.2,1276.22,1276.17,1276.21
2017-08-10T06:54:00+03:00,1276.25,1276.25,1276.1,1276.21
2017-08-10T06:53:00+03:00,1276.04,1276.27,1276.02,1276.27
2017-08-10T06:52:00+03:00,1276.05,1276.09,1276.02,1276.02
2017-08-10T06:51:00+03:00,1276.02,1276.03,1275.92,1276
2017-08-10T06:50:00+03:00,1275.95,1276.1,1275.92,1276.01
2017-08-10T06:49:00+03:00,1276.06,1276.06,1276,1276.01
2017-08-10T06:48:00+03:00,1276.15,1276.15,1276.09,1276.1
2017-08-10T06:47:00+03:00,1276.19,1276.22,1276.19,1276.22
2017-08-10T06:46:00+03:00,1276.24,1276.27,1276.22,1276.24
2017-08-10T06:45:00+03:00,1276.1,1276.26,1276.08,1276.25
2017-08-10T06:44:00+03:00,1275.92,1276.08,1275.89,1276.08
2017-08-10T06:43:00+03:00,1276.07,1276.07,1275.88,1275.91
2017-08-10T06:42:00+03:00,1276.09,1276.11,1276.08,1276.08
2017-08-10T06:41:00+03:00,1276.11,1276.12,1276.08,1276.1
2017-08-10T06:40:00+03:00,1276.18,1276.2,1276.09,1276.12
2017-08-10T06:39:00+03:00,1276.17,1276.21,1276.1,1276.19
2017-08-10T06:38:00+03:00,1276.12,1276.21,1276,1276.19
2017-08-10T06:37:00+03:00,1276.02,1276.23,1276.02,1276.2
2017-08-10T06:36:00+03:00,1276.05,1276.08,1276,1276.01
2017-08-10T06:35:00+03:00,1276,1276.18,1275.99,1276.07
2017-08-10T06:34:00+03:00,1276.17,1276.2,1275.98,1275.98
2017-08-10T06:33:00+03:00,1276.26,1276.26,1276.18,1276.18
2017-08-10T06:32:00+03:00,1276.01,1276.31,1276,1276.28
2017-08-10T06:31:00+03:00,1276.12,1276.13,1275.99,1275.99
2017-08-10T06:30:00+03:00,1276.18,1276.3,1276.1,1276.1
2017-08-10T06:29:00+03:00,1275.97,1276.14,1275.97,1276.14
2017-08-10T06:28:00+03:00,1275.87,1276.02,1275.86,1275.96
2017-08-10T06:27:00+03:00,1275.81,1275.95,1275.81,1275.89
2017-08-10T06:26:00+03:00,1275.91,1275.91,1275.69,1275.79
2017-08-10T06:25:00+03:00,1275.77,1275.89,1275.77,1275.89
2017-08-10T06:24:00+03:00,1275.9,1276,1275.79,1275.79
2017-08-10T06:23:00+03:00,1275.98,1276.01,1275.89,1275.91
2017-08-10T06:22:00+03:00,1276.09,1276.09,1275.86,1276
2017-08-10T06:21:00+03:00,1276.07,1276.11,1275.91,1276.11
2017-08-10T06:20:00+03:00,1276.09,1276.1,1276,1276.09
2017-08-10T06:19:00+03:00,1276.18,1276.18,1276.1,1276.1
2017-08-10T06:18:00+03:00,1276.11,1276.21,1276.11,1276.16
2017-08-10T06:17:00+03:00,1276.28,1276.28,1276.09,1276.1
2017-08-10T06:16:00+03:00,1276.22,1276.4,1276.22,1276.31
2017-08-10T06:15:00+03:00,1276.39,1276.42,1276.2,1276.21
2017-08-10T06:14:00+03:00,1276.32,1276.43,1276.32,1276.36
2017-08-10T06:13:00+03:00,1276.24,1276.29,1276.21,1276.29
2017-08-10T06:12:00+03:00,1276.25,1276.35,1276.25,1276.33
2017-08-10T06:11:00+03:00,1276.21,1276.23,1276.2,1276.22
2017-08-10T06:10:00+03:00,1276.28,1276.32,1276.19,1276.19
2017-08-10T06:09:00+03:00,1276.43,1276.43,1276.28,1276.31
2017-08-10T06:08:00+03:00,1276.41,1276.53,1276.38,1276.41
2017-08-10T06:07:00+03:00,1276.44,1276.46,1276.39,1276.4
2017-08-10T06:06:00+03:00,1276.33,1276.52,1276.32,1276.48
2017-08-10T06:05:00+03:00,1276.39,1276.39,1276.31,1276.31
2017-08-10T06:04:00+03:00,1276.32,1276.52,1276.31,1276.34
2017-08-10T06:03:00+03:00,1276.21,1276.42,1276.21,1276.3
2017-08-10T06:02:00+03:00,1276.46,1276.49,1276.2,1276.2
2017-08-10T06:01:00+03:00,1276.55,1276.57,1276.47,1276.49
2017-08-10T06:00:00+03:00,1276.56,1276.58,1276.47,1276.49
2017-08-10T05:59:00+03:00,1276.63,1276.65,1276.49,1276.54
2017-08-10T05:58:00+03:00,1276.52,1276.55,1276.5,1276.55
2017-08-10T05:57:00+03:00,1276.56,1276.69,1276.5,1276.5
2017-08-10T05:56:00+03:00,1276.69,1276.69,1276.61,1276.61
2017-08-10T05:55:00+03:00,1276.68,1276.78,1276.68,1276.71
2017-08-10T05:54:00+03:00,1276.72,1276.79,1276.69,1276.71
2017-08-10T05:53:00+03:00,1276.68,1276.8,1276.67,1276.69
2017-08-10T05:52:00+03:00,1276.63,1276.7,1276.63,1276.67
2017-08-10T05:51:00+03:00,1276.81,1276.81,1276.59,1276.6
2017-08-10T05:50:00+03:00,1276.73,1276.8,1276.6,1276.79
2017-08-10T05:49:00+03:00,1276.6,1276.82,1276.6,1276.81
2017-08-10T05:48:00+03:00,1276.53,1276.69,1276.49,1276.62
2017-08-10T05:47:00+03:00,1276.62,1276.78,1276.52,1276.59
2017-08-10T05:46:00+03:00,1276.77,1276.96,1276.6,1276.61
2017-08-10T05:45:00+03:00,1276.71,1276.87,1276.7,1276.82
2017-08-10T05:44:00+03:00,1276.73,1276.75,1276.7,1276.7
2017-08-10T05:43:00+03:00,1276.74,1276.83,1276.64,1276.76
2017-08-10T05:42:00+03:00,1276.54,1276.68,1276.43,1276.67
2017-08-10T05:41:00+03:00,1276.17,1276.45,1276.15,1276.45
2017-08-10T05:40:00+03:00,1276.08,1276.34,1276.06,1276.11
2017-08-10T05:39:00+03:00,1276.29,1276.29,1275.97,1276.09
2017-08-10T05:38:00+03:00,1276.58,1276.6,1276.3,1276.3
2017-08-10T05:37:00+03:00,1276.76,1276.85,1276.41,1276.51
2017-08-10T05:36:00+03:00,1276.52,1276.78,1276.51,1276.78
2017-08-10T05:35:00+03:00,1276.53,1276.53,1276.51,1276.51
2017-08-10T05:34:00+03:00,1276.45,1276.55,1276.4,1276.55
2017-08-10T05:33:00+03:00,1276.46,1276.54,1276.33,1276.54
2017-08-10T05:32:00+03:00,1276.35,1276.48,1276.31,1276.47
2017-08-10T05:31:00+03:00,1276.21,1276.41,1276.21,1276.38
2017-08-10T05:30:00+03:00,1276,1276.25,1276,1276.23
2017-08-10T05:29:00+03:00,1276.14,1276.15,1275.92,1275.94
2017-08-10T05:28:00+03:00,1276.12,1276.24,1276.02,1276.13
2017-08-10T05:27:00+03:00,1276.22,1276.24,1276.13,1276.14
2017-08-10T05:26:00+03:00,1276.4,1276.4,1276.21,1276.3
2017-08-10T05:25:00+03:00,1276.22,1276.3,1276.18,1276.29
2017-08-10T05:24:00+03:00,1276.19,1276.24,1276.14,1276.21
2017-08-10T05:23:00+03:00,1276.11,1276.21,1276.07,1276.13
2017-08-10T05:22:00+03:00,1276.11,1276.13,1276.08,1276.1
2017-08-10T05:21:00+03:00,1276.01,1276.12,1276.01,1276.1
2017-08-10T05:20:00+03:00,1276.21,1276.22,1275.98,1275.99
2017-08-10T05:19:00+03:00,1276.31,1276.35,1276.17,1276.22
2017-08-10T05:18:00+03:00,1276.3,1276.34,1276.27,1276.32
2017-08-10T05:17:00+03:00,1276.09,1276.31,1276.08,1276.31
2017-08-10T05:16:00+03:00,1276.35,1276.51,1275.91,1276.04
2017-08-10T05:15:00+03:00,1276.1,1276.6,1276.01,1276.32
2017-08-10T05:14:00+03:00,1276.13,1276.14,1276.11,1276.11
2017-08-10T05:13:00+03:00,1275.96,1276.11,1275.91,1276.11
2017-08-10T05:12:00+03:00,1276.19,1276.22,1276.01,1276.01
2017-08-10T05:11:00+03:00,1275.82,1276.2,1275.82,1276.13
2017-08-10T05:10:00+03:00,1275.84,1275.88,1275.71,1275.81
2017-08-10T05:09:00+03:00,1275.67,1275.87,1275.62,1275.85
2017-08-10T05:08:00+03:00,1275.49,1275.69,1275.47,1275.69
2017-08-10T05:07:00+03:00,1275.58,1275.6,1275.48,1275.48
2017-08-10T05:06:00+03:00,1275.65,1275.74,1275.56,1275.6
2017-08-10T05:05:00+03:00,1275.62,1275.62,1275.54,1275.54
2017-08-10T05:04:00+03:00,1275.67,1275.71,1275.63,1275.63
2017-08-10T05:03:00+03:00,1275.82,1275.91,1275.63,1275.64
2017-08-10T05:02:00+03:00,1275.74,1275.81,1275.64,1275.81
2017-08-10T05:01:00+03:00,1275.79,1275.81,1275.74,1275.75
